firstnameid,lastnameid,playerjerseynameid,commonnameid,role4,role3,gkglovetypecode,role5,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,facepsdlayer0,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,preferredposition5,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,preferredposition6,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,artificialkey,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,preferredposition7,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,sockstylecode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,facepsdlayer1,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
17430,17777,9319,17429,33,123,0,0,37,135,60000,0,0,287,75,0,89,0,0,0,88,0,129,0,38,18,81,82,2,0,0,86,8,0,38,15,90,88,13,0,87,87,252001,85,2030,85,92,36,0,-1,0,1518,90,88,0,180,1,0,12,75,1,142466,23,0,0,91,77,81,8401036,0,75,1,2,0,1048576,77,0,5589,12,38,5,-1,88,81,3,0,1,0,0,0,75,91,86,59,0,-1,0,0,8,3,0,1,0,0,160432,0,0,38,1,0,4,67,2,0,85,5589,0,10,0,3,0,84,3,0,88,500,3,0,0,0,1,0,0,0,0,0,2,0,89,33,0,-1,77,0,0,0
22739,3305,3305,0,0,0,0,0,0,14,30301,0,0,0,62,0,67,0,0,0,63,0,16,0,73,14,73,62,0,0,0,74,1,0,74,0,67,67,1,0,60,74,223101,71,2028,65,69,68,0,-1,0,1,71,74,0,190,0,0,12,69,0,150364,10,0,0,74,71,73,0,0,84,1,0,0,0,79,0,26504,1,50,1,-1,77,61,2,0,2,0,0,0,71,74,72,58,0,-1,0,0,1,9,0,1,0,0,161427,0,0,18,2,0,3,72,4,0,76,26504,0,1,0,2,0,67,9,0,67,500,3,0,0,0,1,2,0,0,0,0,2,0,74,1,0,-1,39,0,0,0
1143,12301,12301,0,0,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,0,1,-1,1,15,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2028,20,1,1,0,-1,0,1,1,1,0,131,1,0,-1,1,0,157192,16,0,0,1,2,15,0,0,41,1,0,0,0,1,0,26520,1,1,1,-1,1,15,1,0,3,0,0,0,1,1,2,1,0,-1,0,0,1,9,1,1,0,0,161197,0,0,14,1,0,3,27,4,0,1,26520,0,1,0,1,0,13,7,0,1,500,3,0,0,0,1,2,0,0,0,0,90,0,1,1,0,-1,1,0,0,0
10108,29314,29314,0,0,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,0,1,-1,1,15,0,0,0,1,1,0,1,2,1,1,1,0,1,1,223101,1,2028,20,1,1,0,-1,0,1,1,1,0,130,1,0,-1,1,0,157192,16,0,0,1,2,15,0,0,54,0,0,0,0,1,0,26521,1,1,1,-1,1,15,1,0,4,0,0,0,1,1,2,1,0,-1,0,0,1,2,1,1,0,0,161197,0,0,14,1,0,3,27,4,0,1,26521,0,1,0,1,0,13,2,0,1,502,3,0,0,0,1,2,0,0,2,0,91,0,1,1,0,-1,1,0,0,0
14133,19867,14133,14133,0,0,0,0,0,41,30301,0,0,0,90,1,97,0,0,0,90,0,16,0,81,-1,91,96,0,0,0,88,1,0,86,21,95,87,1,0,90,90,223101,91,2028,92,90,84,0,-1,0,1,91,93,0,140,1,0,-1,40,0,157498,25,0,0,91,63,84,0,0,41,1,0,0,0,88,0,26551,1,59,4,-1,94,91,4,0,5,0,0,0,89,92,93,84,0,-1,0,0,1,9,1,1,0,0,161117,0,0,14,1,0,4,77,3,0,86,26551,0,1,0,3,0,89,8,0,87,503,3,0,0,0,1,2,0,0,21,0,90,0,93,1,0,-1,86,0,0,0
9169,26641,9169,9169,0,0,0,0,0,41,30301,0,0,0,90,1,97,0,0,0,90,0,16,0,81,-1,91,96,0,0,0,88,1,0,86,2,95,87,1,0,90,90,223101,91,2028,92,90,84,0,-1,0,1,91,93,0,135,1,0,-1,40,0,157192,25,0,0,91,63,84,0,0,41,0,0,0,0,88,0,26552,1,59,4,-1,94,91,4,0,6,0,0,0,89,92,93,84,0,-1,0,0,1,1,1,1,0,0,161117,0,0,14,1,0,4,77,4,0,86,26552,0,1,0,3,0,89,2,0,87,502,3,0,0,0,1,2,0,0,2,0,106,0,93,1,0,-1,86,0,0,0
4017,10238,10238,0,0,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,0,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2028,1,1,1,0,-1,0,1,1,1,0,140,1,0,-1,1,0,157192,16,0,0,1,2,1,0,0,41,0,0,0,0,1,0,26553,1,1,1,-1,1,1,1,0,7,0,0,0,1,1,1,1,0,-1,0,0,1,1,1,1,0,0,160252,0,0,14,1,0,3,27,4,0,1,26553,0,1,0,1,0,1,2,0,1,500,3,0,0,0,1,2,0,0,0,0,107,0,1,1,0,-1,1,0,0,0
4017,10240,10240,0,0,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,0,1,-1,1,1,0,0,0,1,1,0,1,15,1,1,1,0,1,1,223101,1,2028,1,1,1,0,-1,0,1,1,1,0,140,1,0,-1,1,2,157192,16,0,0,1,2,1,0,0,41,0,0,0,0,1,0,26555,1,1,1,-1,1,1,1,0,8,0,0,0,1,1,1,1,0,-1,0,0,1,1,1,1,0,0,160252,0,0,14,1,0,3,27,2,0,1,26555,0,1,0,1,0,1,2,0,1,501,3,0,0,0,1,2,0,0,15,0,108,0,1,1,0,-1,1,0,0,0
8922,26365,10234,0,0,0,0,0,0,0,1140503,0,0,0,1,0,1,0,0,0,1,0,501,0,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2028,1,1,1,0,-1,0,7000,1,1,0,170,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,64,1,0,0,0,1,1,26594,1,1,1,-1,1,1,1,0,9,0,0,0,1,1,1,1,0,-1,0,0,1,6,0,1,0,0,161235,0,0,14,1,0,3,27,3,0,1,26594,0,1,0,1,0,1,2,0,1,500,3,0,0,0,1,0,0,0,0,0,2,0,1,1,0,-1,1,0,0,0
8922,22174,10234,0,0,0,0,0,0,0,1140503,0,0,0,1,0,1,0,0,0,1,0,501,0,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2028,1,1,1,0,-1,0,7000,1,1,0,169,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,65,1,0,0,0,1,1,26598,1,1,1,-1,1,1,1,0,10,0,0,0,1,1,1,1,0,-1,0,0,1,1,0,1,0,0,161235,0,0,14,1,0,3,27,2,0,1,26598,0,1,0,1,0,1,7,0,1,500,3,0,0,0,1,0,0,0,0,0,2,0,1,1,0,-1,1,0,0,0
